resolution,timestamp,actual_x,actual_y,keystone_x,keystone_y,keystone_z,error_x,error_y
16x16,2026-04-15 11:03:37,-30.0,0.0,-28.3060,1.5025,61.6468,1.6940,1.5025
16x16,2026-04-15 11:03:37,-30.0,0.0,-28.2802,1.4866,61.6736,1.7198,1.4866
16x16,2026-04-15 11:03:38,-30.0,0.0,-28.2700,1.4236,61.6876,1.7300,1.4236
16x16,2026-04-15 11:03:38,-30.0,0.0,-28.2797,1.4615,61.6756,1.7203,1.4615
16x16,2026-04-15 11:03:38,-30.0,0.0,-28.2835,1.5282,61.6677,1.7165,1.5282
16x16,2026-04-15 11:03:39,-30.0,0.0,-28.3095,1.4707,61.6453,1.6905,1.4707
16x16,2026-04-15 11:03:39,-30.0,0.0,-28.2811,1.5109,61.6712,1.7189,1.5109
16x16,2026-04-15 11:03:40,-30.0,0.0,-28.2946,1.4741,61.6600,1.7054,1.4741
16x16,2026-04-15 11:03:40,-30.0,0.0,-28.2587,1.4336,61.6983,1.7413,1.4336
16x16,2026-04-15 11:03:40,-30.0,0.0,-28.2622,1.4375,61.6946,1.7378,1.4375
16x16,2026-04-15 11:03:48,-29.0,0.0,-27.3976,1.6433,62.5448,1.6024,1.6433
16x16,2026-04-15 11:03:48,-29.0,0.0,-27.4327,1.6471,62.5095,1.5673,1.6471
16x16,2026-04-15 11:03:49,-29.0,0.0,-27.3325,1.5979,62.6129,1.6675,1.5979
16x16,2026-04-15 11:03:49,-29.0,0.0,-27.4045,1.6338,62.5385,1.5955,1.6338
16x16,2026-04-15 11:03:49,-29.0,0.0,-27.4082,1.6732,62.5321,1.5918,1.6732
16x16,2026-04-15 11:03:50,-29.0,0.0,-27.3970,1.5946,62.5488,1.6030,1.5946
16x16,2026-04-15 11:03:50,-29.0,0.0,-27.3521,1.5890,62.5939,1.6479,1.5890
16x16,2026-04-15 11:03:51,-29.0,0.0,-27.4024,1.6453,62.5399,1.5976,1.6453
16x16,2026-04-15 11:03:51,-29.0,0.0,-27.3646,1.6357,62.5783,1.6354,1.6357
16x16,2026-04-15 11:03:51,-29.0,0.0,-27.3992,1.6203,62.5448,1.6008,1.6203
16x16,2026-04-15 11:03:59,-28.0,0.0,-26.4347,1.7088,63.5015,1.5653,1.7088
16x16,2026-04-15 11:03:59,-28.0,0.0,-26.5054,1.7543,63.4274,1.4946,1.7543
16x16,2026-04-15 11:03:59,-28.0,0.0,-26.4940,1.7623,63.4382,1.5060,1.7623
16x16,2026-04-15 11:04:00,-28.0,0.0,-26.5077,1.7293,63.4270,1.4923,1.7293
16x16,2026-04-15 11:04:00,-28.0,0.0,-26.4967,1.7448,63.4368,1.5033,1.7448
16x16,2026-04-15 11:04:01,-28.0,0.0,-26.4681,1.7693,63.4636,1.5319,1.7693
16x16,2026-04-15 11:04:01,-28.0,0.0,-26.5321,1.7063,63.4044,1.4679,1.7063
16x16,2026-04-15 11:04:01,-28.0,0.0,-26.4747,1.7826,63.4559,1.5253,1.7826
16x16,2026-04-15 11:04:02,-28.0,0.0,-26.4785,1.7875,63.4518,1.5215,1.7875
16x16,2026-04-15 11:04:02,-28.0,0.0,-26.5120,1.7606,63.4203,1.4880,1.7606
16x16,2026-04-15 11:04:10,-27.0,0.0,-25.5972,1.8144,64.3291,1.4028,1.8144
16x16,2026-04-15 11:04:10,-27.0,0.0,-25.5304,1.7747,64.3990,1.4696,1.7747
16x16,2026-04-15 11:04:10,-27.0,0.0,-25.5758,1.6961,64.3598,1.4242,1.6961
16x16,2026-04-15 11:04:11,-27.0,0.0,-25.5176,1.8541,64.4054,1.4824,1.8541
16x16,2026-04-15 11:04:11,-27.0,0.0,-25.5288,1.7640,64.4014,1.4712,1.7640
16x16,2026-04-15 11:04:12,-27.0,0.0,-25.5274,1.8143,64.3988,1.4726,1.8143
16x16,2026-04-15 11:04:12,-27.0,0.0,-25.5647,1.8108,64.3619,1.4353,1.8108
16x16,2026-04-15 11:04:12,-27.0,0.0,-25.5487,1.8112,64.3778,1.4513,1.8112
16x16,2026-04-15 11:04:13,-27.0,0.0,-25.6206,1.7820,64.3084,1.3794,1.7820
16x16,2026-04-15 11:04:13,-27.0,0.0,-25.5567,1.8152,64.3695,1.4433,1.8152
16x16,2026-04-15 11:04:21,-26.0,0.0,-24.5942,1.8633,65.3259,1.4058,1.8633
16x16,2026-04-15 11:04:21,-26.0,0.0,-24.6353,1.8234,65.2882,1.3647,1.8234
16x16,2026-04-15 11:04:21,-26.0,0.0,-24.5980,1.7832,65.3288,1.4020,1.7832
16x16,2026-04-15 11:04:22,-26.0,0.0,-24.5502,1.7819,65.3766,1.4498,1.7819
16x16,2026-04-15 11:04:22,-26.0,0.0,-24.5865,1.8667,65.3332,1.4135,1.8667
16x16,2026-04-15 11:04:23,-26.0,0.0,-24.5561,1.8377,65.3661,1.4439,1.8377
16x16,2026-04-15 11:04:23,-26.0,0.0,-24.6026,1.8684,65.3170,1.3974,1.8684
16x16,2026-04-15 11:04:23,-26.0,0.0,-24.5705,1.8054,65.3544,1.4295,1.8054
16x16,2026-04-15 11:04:24,-26.0,0.0,-24.6059,1.9091,65.3102,1.3941,1.9091
16x16,2026-04-15 11:04:24,-26.0,0.0,-24.5773,1.7946,65.3486,1.4227,1.7946
16x16,2026-04-15 11:04:32,-25.0,0.0,-23.5255,1.8432,66.3937,1.4745,1.8432
16x16,2026-04-15 11:04:32,-25.0,0.0,-23.5945,1.7878,66.3296,1.4055,1.7878
16x16,2026-04-15 11:04:33,-25.0,0.0,-23.6210,1.8273,66.2997,1.3790,1.8273
16x16,2026-04-15 11:04:33,-25.0,0.0,-23.6218,1.8232,66.2993,1.3782,1.8232
16x16,2026-04-15 11:04:33,-25.0,0.0,-23.5415,1.7811,66.3830,1.4585,1.7811
16x16,2026-04-15 11:04:34,-25.0,0.0,-23.5996,1.7873,66.3246,1.4004,1.7873
16x16,2026-04-15 11:04:34,-25.0,0.0,-23.6090,1.7954,66.3145,1.3910,1.7954
