resolution,timestamp,actual_x,actual_y,keystone_x,keystone_y,keystone_z,error_x,error_y
16x16,2026-04-15 11:03:37,-30.0,0.0,-28.7997,0.0034,61.2003,1.2003,0.0034
16x16,2026-04-15 11:03:37,-30.0,0.0,-28.5341,0.0890,61.4658,1.4659,0.0890
16x16,2026-04-15 11:03:38,-30.0,0.0,-28.6670,-0.2239,61.3320,1.3330,-0.2239
16x16,2026-04-15 11:03:38,-30.0,0.0,-28.8222,-0.1485,61.1773,1.1778,-0.1485
16x16,2026-04-15 11:03:38,-30.0,0.0,-28.6688,-0.2151,61.3302,1.3312,-0.2151
16x16,2026-04-15 11:03:39,-30.0,0.0,-28.4651,-0.0777,61.5348,1.5349,-0.0777
16x16,2026-04-15 11:03:39,-30.0,0.0,-28.6188,-0.2674,61.3797,1.3812,-0.2674
16x16,2026-04-15 11:03:40,-30.0,0.0,-28.3628,-0.1239,61.6368,1.6372,-0.1239
16x16,2026-04-15 11:03:40,-30.0,0.0,-28.5884,0.1257,61.4113,1.4116,0.1257
16x16,2026-04-15 11:03:40,-30.0,0.0,-28.7002,0.0847,61.2997,1.2998,0.0847
16x16,2026-04-15 11:03:48,-29.0,0.0,-27.7401,-0.1750,62.2593,1.2599,-0.1750
16x16,2026-04-15 11:03:48,-29.0,0.0,-27.5697,-0.0918,62.4301,1.4303,-0.0918
16x16,2026-04-15 11:03:49,-29.0,0.0,-27.7929,0.0237,62.2071,1.2071,0.0237
16x16,2026-04-15 11:03:49,-29.0,0.0,-27.5207,0.1234,62.4790,1.4793,0.1234
16x16,2026-04-15 11:03:49,-29.0,0.0,-27.5514,-0.0453,62.4485,1.4486,-0.0453
16x16,2026-04-15 11:03:50,-29.0,0.0,-27.5975,-0.1247,62.4021,1.4025,-0.1247
16x16,2026-04-15 11:03:50,-29.0,0.0,-27.4133,-0.0504,62.5867,1.5867,-0.0504
16x16,2026-04-15 11:03:51,-29.0,0.0,-27.5124,-0.1480,62.4872,1.4876,-0.1480
16x16,2026-04-15 11:03:51,-29.0,0.0,-27.6188,-0.2025,62.3804,1.3812,-0.2025
16x16,2026-04-15 11:03:51,-29.0,0.0,-27.6354,-0.1042,62.3644,1.3646,-0.1042
16x16,2026-04-15 11:03:59,-28.0,0.0,-26.9080,-0.5133,63.0863,1.0920,-0.5133
16x16,2026-04-15 11:03:59,-28.0,0.0,-26.7631,-0.0341,63.2369,1.2369,-0.0341
16x16,2026-04-15 11:03:59,-28.0,0.0,-26.6082,-0.1012,63.3915,1.3918,-0.1012
16x16,2026-04-15 11:04:00,-28.0,0.0,-27.0363,-0.0750,62.9636,0.9637,-0.0750
16x16,2026-04-15 11:04:00,-28.0,0.0,-26.9137,-0.2416,63.0850,1.0863,-0.2416
