resolution,timestamp,actual_x,actual_y,keystone_x,keystone_y,keystone_z,error_x,error_y
16x16,2026-04-17 10:40:37,-30.0,0.0,-31.1609,-2.0037,58.7600,-1.1609,-2.0037
16x16,2026-04-17 10:40:37,-30.0,0.0,-31.2631,-1.9007,58.6659,-1.2631,-1.9007
16x16,2026-04-17 10:40:37,-30.0,0.0,-31.1400,-1.8663,58.7913,-1.1400,-1.8663
16x16,2026-04-17 10:40:38,-30.0,0.0,-31.0199,-2.0081,58.9006,-1.0199,-2.0081
16x16,2026-04-17 10:40:38,-30.0,0.0,-31.0526,-1.7661,58.8859,-1.0526,-1.7661
16x16,2026-04-17 10:40:39,-30.0,0.0,-31.2003,-2.0505,58.7170,-1.2003,-2.0505
16x16,2026-04-17 10:40:39,-30.0,0.0,-31.1617,-1.9888,58.7604,-1.1617,-1.9888
16x16,2026-04-17 10:40:39,-30.0,0.0,-31.0296,-2.1068,58.8829,-1.0296,-2.1068
16x16,2026-04-17 10:40:40,-30.0,0.0,-31.1812,-1.8396,58.7522,-1.1812,-1.8396
16x16,2026-04-17 10:40:40,-30.0,0.0,-30.9842,-1.9298,58.9423,-0.9842,-1.9298
16x16,2026-04-17 10:40:48,-29.0,0.0,-30.0213,-2.0817,59.8915,-1.0213,-2.0817
16x16,2026-04-17 10:40:48,-29.0,0.0,-30.1442,-2.1739,59.7609,-1.1442,-2.1739
16x16,2026-04-17 10:40:48,-29.0,0.0,-30.1991,-2.0452,59.7171,-1.1991,-2.0452
16x16,2026-04-17 10:40:49,-29.0,0.0,-29.8805,-2.1682,60.0247,-0.8805,-2.1682
16x16,2026-04-17 10:40:49,-29.0,0.0,-30.2813,-2.0771,59.6323,-1.2813,-2.0771
16x16,2026-04-17 10:40:50,-29.0,0.0,-30.0220,-2.1990,59.8807,-1.0220,-2.1990
16x16,2026-04-17 10:40:50,-29.0,0.0,-30.0528,-2.2843,59.8423,-1.0528,-2.2843
16x16,2026-04-17 10:40:50,-29.0,0.0,-29.9968,-1.9822,59.9241,-0.9968,-1.9822
16x16,2026-04-17 10:40:51,-29.0,0.0,-30.0460,-2.1382,59.8621,-1.0460,-2.1382
16x16,2026-04-17 10:40:51,-29.0,0.0,-30.2558,-2.0441,59.6605,-1.2558,-2.0441
16x16,2026-04-17 10:40:59,-28.0,0.0,-28.8498,-2.4086,61.0307,-0.8498,-2.4086
16x16,2026-04-17 10:40:59,-28.0,0.0,-29.0044,-2.2619,60.8904,-1.0044,-2.2619
16x16,2026-04-17 10:40:59,-28.0,0.0,-28.9792,-2.1669,60.9242,-0.9792,-2.1669
16x16,2026-04-17 10:41:00,-28.0,0.0,-28.9210,-2.1920,60.9801,-0.9210,-2.1920
16x16,2026-04-17 10:41:00,-28.0,0.0,-28.9470,-1.7785,60.9879,-0.9470,-1.7785
16x16,2026-04-17 10:41:01,-28.0,0.0,-28.9563,-1.7959,60.9774,-0.9563,-1.7959
16x16,2026-04-17 10:41:01,-28.0,0.0,-28.7984,-2.0388,61.1158,-0.7984,-2.0388
16x16,2026-04-17 10:41:01,-28.0,0.0,-28.8816,-2.1013,61.0274,-0.8816,-2.1013
16x16,2026-04-17 10:41:02,-28.0,0.0,-28.9496,-2.1332,60.9568,-0.9496,-2.1332
16x16,2026-04-17 10:41:02,-28.0,0.0,-29.0585,-2.1664,60.8452,-1.0585,-2.1664
16x16,2026-04-17 10:41:10,-27.0,0.0,-28.2481,-2.1253,61.6575,-1.2481,-2.1253
16x16,2026-04-17 10:41:10,-27.0,0.0,-28.1685,-1.9758,61.7498,-1.1685,-1.9758
16x16,2026-04-17 10:41:11,-27.0,0.0,-28.3085,-1.9226,61.6143,-1.3085,-1.9226
16x16,2026-04-17 10:41:11,-27.0,0.0,-28.2966,-2.2450,61.5982,-1.2966,-2.2450
16x16,2026-04-17 10:41:12,-27.0,0.0,-28.2390,-2.0635,61.6719,-1.2390,-2.0635
16x16,2026-04-17 10:41:12,-27.0,0.0,-28.2341,-2.1572,61.6687,-1.2341,-2.1572
16x16,2026-04-17 10:41:12,-27.0,0.0,-28.2358,-1.7881,61.6973,-1.2358,-1.7881
16x16,2026-04-17 10:41:13,-27.0,0.0,-28.1608,-1.8990,61.7636,-1.1608,-1.8990
16x16,2026-04-17 10:41:13,-27.0,0.0,-28.2887,-1.6198,61.6565,-1.2887,-1.6198
16x16,2026-04-17 10:41:21,-26.0,0.0,-27.2291,-2.0042,62.6849,-1.2291,-2.0042
16x16,2026-04-17 10:41:21,-26.0,0.0,-27.3408,-2.2308,62.5530,-1.3408,-2.2308
16x16,2026-04-17 10:41:22,-26.0,0.0,-27.4450,-2.3077,62.4416,-1.4450,-2.3077
16x16,2026-04-17 10:41:22,-26.0,0.0,-27.2211,-2.0705,62.6871,-1.2211,-2.0705
16x16,2026-04-17 10:41:22,-26.0,0.0,-27.3514,-2.0213,62.5613,-1.3514,-2.0213
16x16,2026-04-17 10:41:23,-26.0,0.0,-27.3345,-1.6938,62.6042,-1.3345,-1.6938
16x16,2026-04-17 10:41:23,-26.0,0.0,-27.2802,-2.2620,62.6104,-1.2802,-2.2620
16x16,2026-04-17 10:41:24,-26.0,0.0,-27.3311,-2.1628,62.5690,-1.3311,-2.1628
16x16,2026-04-17 10:41:24,-26.0,0.0,-27.3948,-1.8808,62.5298,-1.3948,-1.8808
16x16,2026-04-17 10:41:24,-26.0,0.0,-27.2852,-2.1238,62.6183,-1.2852,-2.1238
16x16,2026-04-17 10:41:32,-25.0,0.0,-26.3448,-2.1501,63.5540,-1.3448,-2.1501
16x16,2026-04-17 10:41:32,-25.0,0.0,-26.1539,-2.3085,63.7288,-1.1539,-2.3085
16x16,2026-04-17 10:41:33,-25.0,0.0,-26.3464,-2.1041,63.5567,-1.3464,-2.1041
16x16,2026-04-17 10:41:33,-25.0,0.0,-26.3585,-2.1494,63.5404,-1.3585,-2.1494
16x16,2026-04-17 10:41:33,-25.0,0.0,-26.1431,-2.1274,63.7573,-1.1431,-2.1274
16x16,2026-04-17 10:41:34,-25.0,0.0,-26.2518,-2.0182,63.6587,-1.2518,-2.0182
16x16,2026-04-17 10:41:34,-25.0,0.0,-26.4924,-2.0988,63.4115,-1.4924,-2.0988
16x16,2026-04-17 10:41:35,-25.0,0.0,-26.2241,-2.0870,63.6802,-1.2241,-2.0870
16x16,2026-04-17 10:41:35,-25.0,0.0,-26.4039,-2.2866,63.4818,-1.4039,-2.2866
16x16,2026-04-17 10:41:35,-25.0,0.0,-26.4417,-2.1611,63.4563,-1.4417,-2.1611
16x16,2026-04-17 10:41:43,-24.0,0.0,-25.4051,-2.0447,64.5010,-1.4051,-2.0447
16x16,2026-04-17 10:41:43,-24.0,0.0,-25.1442,-2.2812,64.7380,-1.1442,-2.2812
16x16,2026-04-17 10:41:44,-24.0,0.0,-25.2410,-2.3175,64.6378,-1.2410,-2.3175
16x16,2026-04-17 10:41:44,-24.0,0.0,-25.2656,-2.2371,64.6215,-1.2656,-2.2371
16x16,2026-04-17 10:41:44,-24.0,0.0,-25.0951,-2.4452,64.7694,-1.0951,-2.4452
16x16,2026-04-17 10:41:45,-24.0,0.0,-25.2876,-2.1681,64.6064,-1.2876,-2.1681
16x16,2026-04-17 10:41:45,-24.0,0.0,-25.2326,-2.1235,64.6655,-1.2326,-2.1235
16x16,2026-04-17 10:41:46,-24.0,0.0,-25.1561,-2.2786,64.7265,-1.1561,-2.2786
16x16,2026-04-17 10:41:46,-24.0,0.0,-25.0706,-2.0578,64.8333,-1.0706,-2.0578
16x16,2026-04-17 10:41:46,-24.0,0.0,-25.2510,-2.2436,64.6354,-1.2510,-2.2436
16x16,2026-04-17 10:41:54,-23.0,0.0,-24.4061,-2.5690,65.4413,-1.4061,-2.5690
16x16,2026-04-17 10:41:54,-23.0,0.0,-24.4085,-2.1708,65.4825,-1.4085,-2.1708
16x16,2026-04-17 10:41:54,-23.0,0.0,-24.2206,-2.2506,65.6616,-1.2206,-2.2506
16x16,2026-04-17 10:41:55,-23.0,0.0,-24.3927,-2.1403,65.5013,-1.3927,-2.1403
16x16,2026-04-17 10:41:55,-23.0,0.0,-24.3431,-2.3411,65.5299,-1.3431,-2.3411
16x16,2026-04-17 10:41:56,-23.0,0.0,-24.5311,-2.6526,65.3069,-1.5311,-2.6526
16x16,2026-04-17 10:41:56,-23.0,0.0,-24.5211,-2.2829,65.3588,-1.5211,-2.2829
16x16,2026-04-17 10:41:57,-23.0,0.0,-24.4908,-2.1158,65.4058,-1.4908,-2.1158
16x16,2026-04-17 10:41:57,-23.0,0.0,-24.6136,-2.2623,65.2687,-1.6136,-2.2623
16x16,2026-04-17 10:41:57,-23.0,0.0,-24.6191,-2.2796,65.2615,-1.6191,-2.2796
16x16,2026-04-17 10:42:05,-22.0,0.0,-23.5879,-2.4121,66.2740,-1.5879,-2.4121
16x16,2026-04-17 10:42:05,-22.0,0.0,-23.7890,-2.1541,66.1016,-1.7890,-2.1541
16x16,2026-04-17 10:42:05,-22.0,0.0,-23.4637,-2.1912,66.4218,-1.4637,-2.1912
16x16,2026-04-17 10:42:06,-22.0,0.0,-23.5994,-2.1449,66.2915,-1.5994,-2.1449
16x16,2026-04-17 10:42:06,-22.0,0.0,-23.6461,-2.1638,66.2430,-1.6461,-2.1638
16x16,2026-04-17 10:42:07,-22.0,0.0,-23.4998,-2.1786,66.3872,-1.4998,-2.1786
16x16,2026-04-17 10:42:07,-22.0,0.0,-23.4648,-2.2568,66.4138,-1.4648,-2.2568
16x16,2026-04-17 10:42:07,-22.0,0.0,-23.6725,-2.2697,66.2055,-1.6725,-2.2697
16x16,2026-04-17 10:42:08,-22.0,0.0,-23.5924,-1.9576,66.3166,-1.5924,-1.9576
16x16,2026-04-17 10:42:08,-22.0,0.0,-23.5790,-1.8584,66.3390,-1.5790,-1.8584
16x16,2026-04-17 10:42:16,-21.0,0.0,-22.4926,-2.0676,67.4021,-1.4926,-2.0676
16x16,2026-04-17 10:42:16,-21.0,0.0,-22.5600,-2.2174,67.3192,-1.5600,-2.2174
16x16,2026-04-17 10:42:16,-21.0,0.0,-22.5187,-2.2834,67.3531,-1.5187,-2.2834
16x16,2026-04-17 10:42:17,-21.0,0.0,-22.5885,-2.0675,67.3066,-1.5885,-2.0675
16x16,2026-04-17 10:42:17,-21.0,0.0,-22.4112,-2.3466,67.4528,-1.4112,-2.3466
16x16,2026-04-17 10:42:18,-21.0,0.0,-22.5578,-1.9054,67.3529,-1.5578,-1.9054
16x16,2026-04-17 10:42:18,-21.0,0.0,-22.5175,-2.2482,67.3581,-1.5175,-2.2482
16x16,2026-04-17 10:42:18,-21.0,0.0,-22.6310,-2.0358,67.2674,-1.6310,-2.0358
16x16,2026-04-17 10:42:19,-21.0,0.0,-22.7566,-2.0979,67.1360,-1.7566,-2.0979
16x16,2026-04-17 10:42:19,-21.0,0.0,-22.5449,-2.2809,67.3272,-1.5449,-2.2809
16x16,2026-04-17 10:42:27,-20.0,0.0,-21.4677,-2.0891,68.4208,-1.4677,-2.0891
16x16,2026-04-17 10:42:27,-20.0,0.0,-21.3449,-2.0838,68.5436,-1.3449,-2.0838
16x16,2026-04-17 10:42:27,-20.0,0.0,-21.2974,-2.1304,68.5859,-1.2974,-2.1304
16x16,2026-04-17 10:42:28,-20.0,0.0,-21.6094,-2.3608,68.2490,-1.6094,-2.3608
16x16,2026-04-17 10:42:28,-20.0,0.0,-21.6538,-2.1792,68.2257,-1.6538,-2.1792
16x16,2026-04-17 10:42:29,-20.0,0.0,-21.2929,-2.2408,68.5779,-1.2929,-2.2408
16x16,2026-04-17 10:42:29,-20.0,0.0,-21.5167,-1.8206,68.3987,-1.5167,-1.8206
16x16,2026-04-17 10:42:29,-20.0,0.0,-21.3471,-2.1907,68.5298,-1.3471,-2.1907
16x16,2026-04-17 10:42:30,-20.0,0.0,-21.3187,-2.1315,68.5646,-1.3187,-2.1315
16x16,2026-04-17 10:42:30,-20.0,0.0,-21.3079,-2.2068,68.5669,-1.3079,-2.2068
