resolution,timestamp,actual_x,actual_y,keystone_x,keystone_y,keystone_z,error_x,error_y
16x16,2026-04-17 10:40:37,-30.0,0.0,-28.7355,-0.5700,61.2577,1.2645,-0.5700
16x16,2026-04-17 10:40:37,-30.0,0.0,-28.6124,-0.7354,61.3764,1.3876,-0.7354
16x16,2026-04-17 10:40:37,-30.0,0.0,-28.8134,-0.5690,61.1799,1.1866,-0.5690
16x16,2026-04-17 10:40:38,-30.0,0.0,-28.8407,-0.5664,61.1527,1.1593,-0.5664
16x16,2026-04-17 10:40:38,-30.0,0.0,-28.6092,-0.6912,61.3809,1.3908,-0.6912
16x16,2026-04-17 10:40:39,-30.0,0.0,-28.8059,-0.5658,61.1875,1.1941,-0.5658
16x16,2026-04-17 10:40:39,-30.0,0.0,-28.8316,-0.6303,61.1602,1.1684,-0.6303
16x16,2026-04-17 10:40:39,-30.0,0.0,-28.8558,-0.5988,61.1367,1.1442,-0.5988
16x16,2026-04-17 10:40:40,-30.0,0.0,-28.6883,-0.7342,61.3005,1.3117,-0.7342
16x16,2026-04-17 10:40:40,-30.0,0.0,-28.7246,-0.5624,61.2689,1.2754,-0.5624
16x16,2026-04-17 10:40:48,-29.0,0.0,-28.1356,-0.5455,61.8582,0.8644,-0.5455
16x16,2026-04-17 10:40:48,-29.0,0.0,-28.2349,-0.6480,61.7563,0.7651,-0.6480
16x16,2026-04-17 10:40:48,-29.0,0.0,-28.1252,-0.4408,61.8707,0.8748,-0.4408
16x16,2026-04-17 10:40:49,-29.0,0.0,-28.2194,-0.5239,61.7749,0.7806,-0.5239
16x16,2026-04-17 10:40:49,-29.0,0.0,-28.1819,-0.5016,61.8128,0.8181,-0.5016
16x16,2026-04-17 10:40:50,-29.0,0.0,-28.0202,-0.6111,61.9720,0.9798,-0.6111
16x16,2026-04-17 10:40:50,-29.0,0.0,-28.1777,-0.5822,61.8152,0.8223,-0.5822
16x16,2026-04-17 10:40:50,-29.0,0.0,-28.2002,-0.5269,61.7940,0.7998,-0.5269
16x16,2026-04-17 10:40:51,-29.0,0.0,-28.1129,-0.5511,61.8807,0.8871,-0.5511
16x16,2026-04-17 10:40:51,-29.0,0.0,-28.2322,-0.5540,61.7614,0.7678,-0.5540
16x16,2026-04-17 10:40:59,-28.0,0.0,-27.3773,-0.5838,62.6154,0.6227,-0.5838
16x16,2026-04-17 10:40:59,-28.0,0.0,-27.3989,-0.5332,62.5950,0.6011,-0.5332
16x16,2026-04-17 10:40:59,-28.0,0.0,-27.4211,-0.5555,62.5723,0.5789,-0.5555
16x16,2026-04-17 10:41:00,-28.0,0.0,-27.4200,-0.5830,62.5728,0.5800,-0.5830
