resolution,timestamp,actual_x,actual_y,keystone_x,keystone_y,keystone_z,error_x,error_y
16x16,2026-04-17 10:40:37,-30.0,0.0,-29.1133,-0.6072,60.8791,0.8867,-0.6072
16x16,2026-04-17 10:40:37,-30.0,0.0,-28.9893,-0.7717,60.9984,1.0107,-0.7717
16x16,2026-04-17 10:40:37,-30.0,0.0,-29.1906,-0.6087,60.8018,0.8094,-0.6087
16x16,2026-04-17 10:40:38,-30.0,0.0,-29.2147,-0.6000,60.7780,0.7853,-0.6000
16x16,2026-04-17 10:40:38,-30.0,0.0,-28.9868,-0.7268,61.0023,1.0132,-0.7268
16x16,2026-04-17 10:40:39,-30.0,0.0,-29.1831,-0.6017,60.8095,0.8169,-0.6017
16x16,2026-04-17 10:40:39,-30.0,0.0,-29.2088,-0.6682,60.7820,0.7912,-0.6682
16x16,2026-04-17 10:40:39,-30.0,0.0,-29.2333,-0.6391,60.7584,0.7667,-0.6391
16x16,2026-04-17 10:40:40,-30.0,0.0,-29.0658,-0.7743,60.9219,0.9342,-0.7743
16x16,2026-04-17 10:40:40,-30.0,0.0,-29.1021,-0.5997,60.8905,0.8979,-0.5997
16x16,2026-04-17 10:40:48,-29.0,0.0,-28.5072,-0.5828,61.4857,0.4928,-0.5828
16x16,2026-04-17 10:40:48,-29.0,0.0,-28.6080,-0.6895,61.3822,0.3920,-0.6895
16x16,2026-04-17 10:40:48,-29.0,0.0,-28.4951,-0.4730,61.5003,0.5049,-0.4730
16x16,2026-04-17 10:40:49,-29.0,0.0,-28.5898,-0.5617,61.4036,0.4102,-0.5617
16x16,2026-04-17 10:40:49,-29.0,0.0,-28.5527,-0.5388,61.4412,0.4473,-0.5388
16x16,2026-04-17 10:40:50,-29.0,0.0,-28.3910,-0.6451,61.6004,0.6090,-0.6451
16x16,2026-04-17 10:40:50,-29.0,0.0,-28.5493,-0.6222,61.4427,0.4507,-0.6222
16x16,2026-04-17 10:40:50,-29.0,0.0,-28.5720,-0.5649,61.4214,0.4280,-0.5649
16x16,2026-04-17 10:40:51,-29.0,0.0,-28.4831,-0.5873,61.5097,0.5169,-0.5873
16x16,2026-04-17 10:40:51,-29.0,0.0,-28.6041,-0.5948,61.3885,0.3959,-0.5948
16x16,2026-04-17 10:40:59,-28.0,0.0,-27.7433,-0.6254,62.2485,0.2567,-0.6254
16x16,2026-04-17 10:40:59,-28.0,0.0,-27.7627,-0.5694,62.2305,0.2373,-0.5694
16x16,2026-04-17 10:40:59,-28.0,0.0,-27.7859,-0.5941,62.2066,0.2141,-0.5941
16x16,2026-04-17 10:41:00,-28.0,0.0,-27.7839,-0.6196,62.2080,0.2161,-0.6196
16x16,2026-04-17 10:41:00,-28.0,0.0,-27.7526,-0.6370,62.2388,0.2474,-0.6370
16x16,2026-04-17 10:41:01,-28.0,0.0,-27.7296,-0.6436,62.2616,0.2704,-0.6436
16x16,2026-04-17 10:41:01,-28.0,0.0,-27.7746,-0.5984,62.2179,0.2254,-0.5984
16x16,2026-04-17 10:41:01,-28.0,0.0,-27.7823,-0.6516,62.2087,0.2177,-0.6516
16x16,2026-04-17 10:41:02,-28.0,0.0,-27.7846,-0.5584,62.2088,0.2154,-0.5584
16x16,2026-04-17 10:41:02,-28.0,0.0,-27.7877,-0.6221,62.2041,0.2123,-0.6221
16x16,2026-04-17 10:41:10,-27.0,0.0,-26.9229,-0.6201,63.0688,0.0771,-0.6201
16x16,2026-04-17 10:41:10,-27.0,0.0,-26.8495,-0.6030,63.1426,0.1505,-0.6030
16x16,2026-04-17 10:41:11,-27.0,0.0,-26.9013,-0.5348,63.0925,0.0987,-0.5348
16x16,2026-04-17 10:41:11,-27.0,0.0,-26.9229,-0.6209,63.0687,0.0771,-0.6209
16x16,2026-04-17 10:41:12,-27.0,0.0,-26.9548,-0.6343,63.0365,0.0452,-0.6343
16x16,2026-04-17 10:41:12,-27.0,0.0,-26.9392,-0.6385,63.0520,0.0608,-0.6385
16x16,2026-04-17 10:41:12,-27.0,0.0,-26.8866,-0.6121,63.1053,0.1134,-0.6121
16x16,2026-04-17 10:41:13,-27.0,0.0,-26.9875,-0.7074,63.0017,0.0125,-0.7074
16x16,2026-04-17 10:41:13,-27.0,0.0,-26.9310,-0.6134,63.0609,0.0690,-0.6134
16x16,2026-04-17 10:41:21,-26.0,0.0,-25.8902,-0.5493,64.1031,0.1098,-0.5493
16x16,2026-04-17 10:41:21,-26.0,0.0,-25.9425,-0.5710,64.0503,0.0575,-0.5710
16x16,2026-04-17 10:41:22,-26.0,0.0,-25.9828,-0.5906,64.0094,0.0172,-0.5906
16x16,2026-04-17 10:41:22,-26.0,0.0,-25.9845,-0.5582,64.0086,0.0155,-0.5582
16x16,2026-04-17 10:41:22,-26.0,0.0,-25.9100,-0.4867,64.0848,0.0900,-0.4867
16x16,2026-04-17 10:41:23,-26.0,0.0,-25.9346,-0.5158,64.0595,0.0654,-0.5158
16x16,2026-04-17 10:41:23,-26.0,0.0,-25.9691,-0.5689,64.0237,0.0309,-0.5689
16x16,2026-04-17 10:41:24,-26.0,0.0,-25.9521,-0.5904,64.0402,0.0479,-0.5904
16x16,2026-04-17 10:41:24,-26.0,0.0,-25.9351,-0.5842,64.0573,0.0649,-0.5842
16x16,2026-04-17 10:41:24,-26.0,0.0,-25.9472,-0.4655,64.0480,0.0528,-0.4655
16x16,2026-04-17 10:41:32,-25.0,0.0,-24.9919,-0.6239,64.9992,0.0081,-0.6239
16x16,2026-04-17 10:41:32,-25.0,0.0,-25.0129,-0.6239,64.9783,-0.0129,-0.6239
16x16,2026-04-17 10:41:33,-25.0,0.0,-25.0397,-0.4766,64.9551,-0.0397,-0.4766
16x16,2026-04-17 10:41:33,-25.0,0.0,-25.0059,-0.5187,64.9880,-0.0059,-0.5187
16x16,2026-04-17 10:41:33,-25.0,0.0,-24.9775,-0.5774,65.0149,0.0225,-0.5774
16x16,2026-04-17 10:41:34,-25.0,0.0,-24.9672,-0.5261,65.0265,0.0328,-0.5261
16x16,2026-04-17 10:41:34,-25.0,0.0,-24.9270,-0.5284,65.0666,0.0730,-0.5284
16x16,2026-04-17 10:41:35,-25.0,0.0,-25.0571,-0.5613,64.9357,-0.0571,-0.5613
16x16,2026-04-17 10:41:35,-25.0,0.0,-25.0049,-0.4678,64.9901,-0.0049,-0.4678
16x16,2026-04-17 10:41:35,-25.0,0.0,-25.0003,-0.5377,64.9931,-0.0003,-0.5377
16x16,2026-04-17 10:41:43,-24.0,0.0,-24.0332,-0.5529,65.9596,-0.0332,-0.5529
16x16,2026-04-17 10:41:43,-24.0,0.0,-23.9524,-0.5788,66.0397,0.0476,-0.5788
16x16,2026-04-17 10:41:44,-24.0,0.0,-24.0251,-0.5626,65.9674,-0.0251,-0.5626
16x16,2026-04-17 10:41:44,-24.0,0.0,-24.0230,-0.6133,65.9682,-0.0230,-0.6133
16x16,2026-04-17 10:41:44,-24.0,0.0,-24.0056,-0.5639,65.9869,-0.0056,-0.5639
16x16,2026-04-17 10:41:45,-24.0,0.0,-23.9782,-0.5301,66.0152,0.0218,-0.5301
16x16,2026-04-17 10:41:45,-24.0,0.0,-24.0203,-0.6005,65.9712,-0.0203,-0.6005
16x16,2026-04-17 10:41:46,-24.0,0.0,-23.9614,-0.5007,66.0327,0.0386,-0.5007
16x16,2026-04-17 10:41:46,-24.0,0.0,-23.9686,-0.5244,66.0249,0.0314,-0.5244
16x16,2026-04-17 10:41:46,-24.0,0.0,-23.9850,-0.5372,66.0082,0.0150,-0.5372
16x16,2026-04-17 10:41:54,-23.0,0.0,-23.0476,-0.5786,66.9443,-0.0476,-0.5786
16x16,2026-04-17 10:41:54,-23.0,0.0,-23.0407,-0.5253,66.9526,-0.0407,-0.5253
16x16,2026-04-17 10:41:54,-23.0,0.0,-23.0600,-0.6092,66.9310,-0.0600,-0.6092
16x16,2026-04-17 10:41:55,-23.0,0.0,-23.0160,-0.5673,66.9762,-0.0160,-0.5673
16x16,2026-04-17 10:41:55,-23.0,0.0,-23.0264,-0.5539,66.9662,-0.0264,-0.5539
16x16,2026-04-17 10:41:56,-23.0,0.0,-22.9927,-0.6198,66.9980,0.0073,-0.6198
16x16,2026-04-17 10:41:56,-23.0,0.0,-22.9988,-0.5828,66.9930,0.0012,-0.5828
16x16,2026-04-17 10:41:57,-23.0,0.0,-22.9735,-0.5482,67.0192,0.0265,-0.5482
16x16,2026-04-17 10:41:57,-23.0,0.0,-23.0328,-0.5807,66.9591,-0.0328,-0.5807
16x16,2026-04-17 10:41:57,-23.0,0.0,-22.9970,-0.5780,66.9949,0.0030,-0.5780
16x16,2026-04-17 10:42:05,-22.0,0.0,-22.0455,-0.5465,67.9470,-0.0455,-0.5465
16x16,2026-04-17 10:42:05,-22.0,0.0,-22.0934,-0.5799,67.8981,-0.0934,-0.5799
16x16,2026-04-17 10:42:05,-22.0,0.0,-22.0744,-0.5707,67.9175,-0.0744,-0.5707
16x16,2026-04-17 10:42:06,-22.0,0.0,-22.0332,-0.5362,67.9596,-0.0332,-0.5362
16x16,2026-04-17 10:42:06,-22.0,0.0,-22.0747,-0.5902,67.9166,-0.0747,-0.5902
